,title,published,views,likes,comments,creator
30,SQL Interview Assignment Queries | REAL SQL Assignment given in Interview Part 1 (Problem Statement),2022-06-17,18440,558,79,techTFQ
31,REAL SQL Interview Question | Complex SQL Interview Query and Solution,2022-06-03,55980,1386,111,techTFQ
32,Top 10 Tips for JOB Interview | Tips for Job Interview,2022-05-25,14404,568,45,techTFQ
33,Solving SQL Query | Rows to Column in SQL,2022-05-18,111152,2929,155,techTFQ
34,Procedure Tutorial in SQL | SQL Stored Procedure | Procedure in SQL,2022-05-01,159997,3202,176,techTFQ
35,my Live SQL Course Announcement #shorts,2022-04-05,19322,849,84,techTFQ
36,Best Online SQL Course to practically learn and practice SQL,2022-03-30,29154,545,117,techTFQ
37,Recursive SQL Queries Tutorial | Learn to write SQL Queries using Recursion,2022-03-23,123119,3251,249,techTFQ
38,Solving SQL Interview Queries | Tricky SQL Interview Queries,2022-03-16,194818,4984,400,techTFQ
39,How to learn SQL | Step by Step Guide on how to learn SQL,2022-03-02,127246,4548,339,techTFQ
40,ANSI vs Non ANSI Joins in SQL | SQL Query Writing using ANSI and Non ANSI method,2022-02-23,29922,678,84,techTFQ
41,SQL Views Tutorial | VIEWS in SQL Complete Tutorial,2022-02-15,165552,3672,325,techTFQ
42,Practice Writing SQL Queries on StrataScratch | How to Solve SQL Queries,2022-02-08,128005,3259,186,techTFQ
43,Subquery in SQL | Correlated Subquery + Complete SQL Subqueries Tutorial,2022-02-01,669775,15698,968,techTFQ
44,SQL JOINS Tutorial for beginners | Practice SQL Queries using JOINS - Part 2,2022-01-14,198882,6609,478,techTFQ
45,SQL JOINS Tutorial for beginners | Practice SQL Queries using JOINS - Part 1,2022-01-06,555987,13680,903,techTFQ
46,How to get your 1st DATA ANALYST Job | Data Analyst Job | How to become a Data Analyst,2021-12-29,326634,12467,1039,techTFQ
47,BEST Online Courses to Learn SQL and Practice SQL Queries | BEST SQL Courses,2021-12-22,49004,1183,138,techTFQ
48,REAL SQL Interview Question by a FAANG company | SQL Interview Query and Solution,2021-12-08,214467,4697,291,techTFQ
49,Top 25 SQL Interview Questions and Answers(The BEST SQL Interview Questions),2021-12-01,586496,19909,511,techTFQ
50,Practice SQL Interview Questions on LeetCode | Solve SQL Interview Questions (Practice SQL Queries),2021-11-18,72298,2083,119,techTFQ
51,"Thank you for 10,000 Subscribers | Answering some of your questions",2021-11-06,2083,105,84,techTFQ
52,Practice Writing SQL Queries using Real Dataset(Practice Complex SQL Queries),2021-10-28,162692,5273,329,techTFQ
53,Python Project to Scrape YouTube using YouTube Data API | Analyze and Visualize YouTube data,2021-10-13,79753,2509,223,techTFQ
54,Practice Complex SQL Queries | SQL Query to fetch N consecutive records,2021-09-28,65599,2262,176,techTFQ
55,ANACONDA Tutorial for Python | How to Install Anaconda on Mac OS and How to use Anaconda for Python,2021-09-21,77458,1306,81,techTFQ
56,Connect to PostgreSQL from Python (Using SQL in Python) | Python to PostgreSQL,2021-09-13,100637,2514,140,techTFQ
57,SQL WITH Clause | How to write SQL Queries using WITH Clause | SQL CTE (Common Table Expression),2021-09-05,378418,9357,557,techTFQ
58,STEP by STEP guide to Learn Python | How to learn PYTHON,2021-08-29,9409,482,45,techTFQ
59,Learn how to write SQL Queries(Practice Complex SQL Queries),2021-08-22,1216414,27939,1021,techTFQ
60,"SQL Window Function | How to write SQL Query using Frame Clause, CUME_DIST | SQL Queries Tutorial",2021-08-13,232154,8384,574,techTFQ
61,Learn how to use GitHub for Beginners | GitHub Tutorial,2021-08-06,58794,1608,64,techTFQ
62,Git Tutorial for Complete Beginners | Learn Git in 35 minutes,2021-07-16,40365,1447,133,techTFQ
63,Web Scraping in Python using Beautiful Soup | Writing a Python program to Scrape IMDB website,2021-07-05,122263,4134,351,techTFQ
64,Thank you for 1000 subscribers | Channel update | Who am i? & What i do?,2021-06-23,6066,151,63,techTFQ
65,Practice SQL and Python | How to Practice Programming | Using LeetCode,2021-06-08,34075,1014,48,techTFQ
66,Logging Tutorial in Python | DON’T use Print for logging | How to Log messages in Python,2021-06-04,34326,829,62,techTFQ
67,"SQL Window Function | How to write SQL Query using RANK, DENSE RANK, LEAD/LAG | SQL Queries Tutorial",2021-05-21,667831,21281,1162,techTFQ
68,How to Read and Write Files in Python | File Handling Tutorial in Python,2021-05-05,10289,391,36,techTFQ
69,Regular Expressions in Python | Regular Expressions Python Tutorial,2021-04-22,11513,349,64,techTFQ
70,What is Data Science (for beginners) | Data Science for Beginners | Data Science Life Cycle,2021-04-08,4617,152,10,techTFQ
71,Best Resume Format | Tips for writing an AWESOME Resume | ATS Resume Format,2021-03-25,125611,3774,189,techTFQ
72,Dictionary in Python (for beginners) | Python Dictionaries | Python Tutorial #10,2021-03-18,2930,76,7,techTFQ
73,Lists in Python EXPLAINED | Python Lists | Python Tutorial for Beginners #9,2021-03-11,2685,75,9,techTFQ
74,Exception Handling in Python | TRY EXCEPT in Python | Python Tutorial for Beginners #8,2021-03-04,12419,329,17,techTFQ
75,Local and Global Scope in Python | Local and Global Variables | Python Tutorial for Beginners #7,2021-03-01,4332,138,9,techTFQ
76,What is a FUNCTION in Python | Python Functions | Python Tutorial for Beginners #6,2021-02-22,2759,86,7,techTFQ
77,Import modules in Python | Import module from different directory | Python Tutorial for beginners #5,2021-02-14,54193,757,80,techTFQ
78,WHILE loop and FOR loop in Python | LOOP statements in Python | Python Tutorial for Beginners #4,2021-02-07,4323,125,26,techTFQ
79,IF ELSE ELIF statement in Python | IF ELSE Statement in Python | Python Tutorial for Beginners #3,2021-01-31,3212,98,11,techTFQ
80,What is a VARIABLE in Python | Python Variables | Python Tutorial for Beginners #2,2021-01-25,3308,111,16,techTFQ
81,"What is DATA TYPE, OPERATORS and EXPRESSION in Python | Python Tutorial for Beginners #1",2021-01-18,5764,155,19,techTFQ
82,How to Install Python on Mac OS and How to Run Python code,2021-01-11,455447,6104,348,techTFQ
83,Excel Alternative: How to use SQL to perform EXCEL tasks (SQL for Data Analysis),2021-01-03,30834,703,48,techTFQ
84,iPhone 12 Pro Unboxing | 5 Reasons to BUY iPhone 12 Pro,2020-12-15,1170,38,24,techTFQ
85,SQL Basics Tutorial for Beginners (Practice SQL Queries),2020-12-11,849361,18654,586,techTFQ
86,How to install PostgreSQL on Mac OS | Install and Uninstall PostgreSQL Database,2020-11-16,71914,685,97,techTFQ
87,Learn What is Database | Types of Database | DBMS,2020-08-30,214453,3803,123,techTFQ
88,Do you need a Smartwatch,2020-07-12,11368,185,46,techTFQ
89,MacBook Pro 13 2020  One Week Later Review,2020-06-29,1382,71,20,techTFQ
90,MacBook Pro 13 2020 Unboxing,2020-06-22,2575,91,29,techTFQ
0,What's in My Data Science Travel Bag? (50+ Flights Last Year),2023-08-07,1906,66,26,Ken Jee
1,7 Enticing Jobs AI Will Create,2023-07-24,3600,164,33,Ken Jee
2,The ChatGPT Code Interpreter is OVERRATED,2023-07-22,3454,125,29,Ken Jee
3,Exciting Announcement!,2023-06-23,6245,285,48,Ken Jee
4,AI: A Customer Service Revolution?,2023-05-26,3400,114,35,Ken Jee
5,Beginner Kaggle Data Science Project Walk-Through (Housing Prices) | With ChatGPT,2023-05-16,17734,673,54,Ken Jee
6,How I Would Learn Data Science with AI (If I Could Start Over),2023-05-04,25568,1121,72,Ken Jee
7,This AI question will determine our future,2023-04-06,4102,257,37,Ken Jee
8,I'll Never Code the Same Again... (GPT-4 is OP),2023-04-03,69948,803,77,Ken Jee
9,Your current portfolio is actually hurting you #shorts,2023-03-30,5073,292,4,Ken Jee
10,"Traditional ""networking"" is stupid. Do THIS instead #shorts",2023-03-27,5363,294,3,Ken Jee
11,you're job searching wrong. #shorts,2023-03-23,3534,214,3,Ken Jee
12,The Economics of Data Roles #shorts,2023-03-21,5921,371,5,Ken Jee
13,Why your phone knows everything you say #shorts,2023-03-18,2528,116,7,Ken Jee
14,Read these for a successful career. #shorts,2023-03-16,2695,215,2,Ken Jee
15,Is Your Phone Actually Listening to You? #shorts,2023-03-09,2288,43,5,Ken Jee
16,How I Realized I Was a Bad Manager #shorts,2023-03-07,2442,115,1,Ken Jee
17,How I Use ChatGPT as a Data Scientist (4-5 hrs Saved Per Week),2023-03-03,19102,728,52,Ken Jee
18,Why I Quit Data Science... and then crawled back #shorts,2023-03-01,6553,224,12,Ken Jee
19,The Best Place to Look for Data Science Opportunities #shorts,2023-02-27,2336,153,2,Ken Jee
20,Learning On the companies dime #shorts,2023-02-24,2919,166,1,Ken Jee
21,The Best Way to Transition to Data Science? #shorts,2023-02-21,3624,239,6,Ken Jee
22,Avoid this Massive Data Science Learning Mistake #shorts,2023-02-17,5954,348,6,Ken Jee
23,Don't Go into Data for the Money #shorts,2023-02-15,3598,215,12,Ken Jee
24,First Data Science Project? Watch This.,2023-02-13,5502,320,22,Ken Jee
25,How to Approach Applying for a Data Role #shorts,2023-02-08,3588,242,7,Ken Jee
26,The Hard Reality of Data Science Work #shorts,2023-02-06,10226,648,10,Ken Jee
27,How Much Money Does a Data Scientist Make? #shorts,2023-02-03,4220,177,6,Ken Jee
28,These 3 Things Make Data Science Special #shorts,2023-02-01,3997,313,6,Ken Jee
29,Will Data Science Be Automated? #shorts,2023-01-27,7546,351,7,Ken Jee
30,Is Data Science A Good Fit For You? #shorts,2023-01-25,4790,278,9,Ken Jee
31,5 Books I Wish I Read Earlier In My Career,2023-01-23,8818,502,50,Ken Jee
32,How To Start Working on Data Science Projects (As a Beginner) #shorts,2023-01-19,4261,444,10,Ken Jee
33,What Data Science Tool Would I Learn First? #shorts,2023-01-17,6152,466,10,Ken Jee
34,How long does it take to become a Data Scientist? #shorts,2023-01-12,5347,431,6,Ken Jee
35,Where & how to start your Data Science Journey #shorts,2023-01-09,6462,406,2,Ken Jee
36,How I Would NOT Learn Data Science in 2023.,2023-01-03,117576,3915,242,Ken Jee
37,The Greatest Data Science Event You Never Heard Of  [Behind The Scenes],2022-12-14,4748,197,28,Ken Jee
38,The Essential Programming Concepts For Learning Data Science,2022-11-14,19816,829,46,Ken Jee
39,The Data Content House: What You Missed,2022-10-07,10346,346,50,Ken Jee
40,Is Data Science A Good Career?,2022-09-29,58333,1850,133,Ken Jee
41,IRON ANALYST (Teaser) #shorts,2022-09-27,5595,363,24,Ken Jee
42,When a New Data Scientist Joins The Team,2022-08-29,16242,742,133,Ken Jee
43,State of Data Science - Web Data,2022-08-05,10400,360,34,Ken Jee
44,Data Science Town Hall - State of Data Science,2022-08-04,9937,377,38,Ken Jee
45,The Programming Roadmap For Data Science,2022-07-29,26550,1270,64,Ken Jee
46,5 Impactful Data Science Projects For Your Portfolio,2022-06-27,68933,2696,90,Ken Jee
47,Can AI Fix my Baseball Swing?,2022-06-10,7477,338,68,Ken Jee
48,Every Data Scientist... (funny!),2022-05-24,16304,847,146,Ken Jee
49,State of Data Science (Town Hall) ft - Data Squad,2022-05-07,15960,430,65,Ken Jee
50,Data Science Portfolio Project From Scratch | Building a YouTube Data Dashboard with Streamlit,2022-04-04,54559,1438,87,Ken Jee
51,Why You Are NOT Landing Data Jobs ... Yet,2022-03-25,20614,864,111,Ken Jee
52,Data Scientists VS NFT Scam,2022-03-03,4608,189,51,Ken Jee
53,When a PM Joins the Data Team... (funny!) - Ft @LukeBarousse,2022-02-21,11052,509,144,Ken Jee
54,What Professional Data Scientists ACTUALLY Do,2022-02-14,93680,3263,185,Ken Jee
55,Can You Analyze My Data Better Than I Can?,2022-01-31,7202,323,62,Ken Jee
56,Giving Back to My Most Engaged Subscribers!,2022-01-28,2317,119,89,Ken Jee
57,How to Make $1 Billion Betting on Horse Racing with Machine Learning,2022-01-24,26960,824,130,Ken Jee
58,Should You Be Excited About Web 3? (As a Data Scientist),2022-01-17,8790,423,85,Ken Jee
59,Should  @LukeBarousse Take This Data Analyst Job? (Funny) #Shorts,2022-01-14,8443,251,33,Ken Jee
60,The Only Data Science Explanation You Need,2022-01-10,58229,2182,174,Ken Jee
61,We Need to Talk About The LinkedIn Machine Learning Assessment.,2022-01-03,14387,646,144,Ken Jee
62,How I Would Learn Data Science in 2022 (If I Had to Start Over),2021-12-27,338047,14919,536,Ken Jee
63,What the Heck is WSL 2? (My New Favorite Tool),2021-12-17,11243,408,66,Ken Jee
64,How Statistics Saved the US SERIOUS $$$$ During WW2 #Shorts,2021-12-10,7984,568,25,Ken Jee
65,How Zillow Lost $500 MILLION With Machine Learning,2021-12-03,24454,1181,146,Ken Jee
66,Why Is Data Engineering So HOT Right Now?,2021-11-26,29282,1095,141,Ken Jee
67,Is Data Science Dying?,2021-11-19,121443,3827,361,Ken Jee
68,7 Incredible Books That Transformed My Health and My Life,2021-11-12,8035,387,112,Ken Jee
69,Why EVERYONE Should Start a Podcast (Including YOU),2021-11-05,3622,203,48,Ken Jee
70,Building a Burrito Dashboard - Data Science Project from Scratch with atoti,2021-10-29,12783,291,39,Ken Jee
71,ML Ops: What is it REALLY?,2021-10-22,6653,278,65,Ken Jee
72,Business Skills for Data Science: What are they REALLY?,2021-10-18,6722,301,50,Ken Jee
73,#66DaysOfData Round 3 Live Event! (feat. @statquest),2021-10-12,2204,123,5,Ken Jee
74,Roasting My First Data Science Project (Common Project Mistakes),2021-10-08,5873,279,64,Ken Jee
75,Is Data Visualization Important for Data Science? (A Data Scientist's Perspective),2021-08-20,12734,531,112,Ken Jee
76,Project Presentation - Expectations vs. Reality (funny) #shorts,2021-08-07,10119,429,32,Ken Jee
77,Data Science Project - Expectations vs Reality (funny) #shorts,2021-08-06,40678,1586,31,Ken Jee
78,How I Learned to Learn.,2021-07-31,50655,2357,209,Ken Jee
79,Is Spotify Shuffle Really Random? #Shorts,2021-07-21,10340,577,50,Ken Jee
80,I Eat a Papaya Live on Stream (Plus Q&A for 150K Subs!),2021-07-16,2378,93,30,Ken Jee
81,Why are APIs Important for Data Science?,2021-07-09,9737,449,95,Ken Jee
82,Is Your Phone REALLY Listening to You?,2021-07-03,5155,280,116,Ken Jee
83,Kaggle vs Github - Which is Best for Your Data Science Portfolio?,2021-06-25,14733,590,121,Ken Jee
84,#66DaysOfData - 3 Reasons to Start!,2021-06-18,4078,226,41,Ken Jee
85,#66DaysOfData - What is it? #shorts,2021-06-11,9010,387,54,Ken Jee
86,A Quick Data Science Project Tip! #SHORTS,2021-06-03,16559,1010,89,Ken Jee
87,Discouraged with Data Science? - Watch THIS video.,2021-05-28,7428,391,195,Ken Jee
88,How Data Science Projects Pay Off,2021-05-22,10562,595,146,Ken Jee
89,How I Use Data to Optimize My Life | What I Collect & How I Analyze It,2021-05-14,10507,487,134,Ken Jee
90,What is a lambda function (python)? #shorts,2021-05-13,15056,930,49,Ken Jee
91,Why Kaggle Should Be Your Favorite Data Science Resource #shorts,2021-05-07,28195,1509,63,Ken Jee
92,What is Pandas? (Data & Data Science) #shorts,2021-04-30,23316,1192,87,Ken Jee
93,The 7 Biggest Data Science  Beginner Mistakes,2021-04-23,76587,3416,281,Ken Jee
94,Data Scientist Reacts: REAL Data Science Job Application Data,2021-04-16,23405,689,85,Ken Jee
95,Why You Probably Won't Become a Data Scientist,2021-04-09,137243,4028,482,Ken Jee
96,How to Go From Data Analyst to Data Scientist,2021-04-02,53052,1524,173,Ken Jee
97,Why I Have 2 Offices for Data Science & Content Creation,2021-03-26,3969,138,92,Ken Jee
98,MARCH MADNESS - Will My Machine Learning Model Beat Your Bracket?,2021-03-19,18139,349,108,Ken Jee
99,My Regrets as a Data Science Student,2021-03-12,23863,878,112,Ken Jee
100,My Daily Battle With Time - Will I Win? [Vlog],2021-03-08,3825,196,83,Ken Jee
101,What is the Future of my Comment Leaderboard Project?,2021-02-26,5562,202,81,Ken Jee
102,How to Build a Website  - Building my ULTIMATE Portfolio Website,2021-02-19,6642,173,51,Ken Jee
103,Why I Quit Data Science,2021-02-12,104449,2342,348,Ken Jee
104,🌶 Hot Topics in Tech: Data Science Explained #SHORTS,2021-01-29,10642,554,116,Ken Jee
105,How I Balance Data Science and Content Creation (7 Secrets),2021-01-23,6988,295,126,Ken Jee
106,Kaggle Project From Scratch - Part 3 (Advanced Graphs & Gender Imbalance Analysis),2021-01-16,9527,298,52,Ken Jee
107,Kaggle Project From Scratch - Part 2 (Exploratory Data Analysis),2021-01-08,22208,694,134,Ken Jee
108,Kaggle Project From Scratch - Part 1 (Data Science Profession Survey),2021-01-02,37050,1136,147,Ken Jee
109,What is the #66DaysOfData?,2020-12-26,69447,2315,202,Ken Jee
110,How I Would Learn Data Science in 2021 (What Has Changed?),2020-12-19,131304,5976,488,Ken Jee
111,Unboxing the Ultimate Z by HP Data Science Package (FIRST EVER HP Workstation w/ Data Science Stack),2020-12-10,10818,395,133,Ken Jee
112,I Built the FIRST EVER YouTube Subscriber LEADERBOARD,2020-12-07,23396,727,326,Ken Jee
113,7 Things to Look For in a Masters For Data Science (feat. @TinaHuang1),2020-11-20,27403,848,160,Ken Jee
114,6 Lessons from #66DaysOfData,2020-11-13,6712,340,93,Ken Jee
115,100K Channel Update + AMA Stream!,2020-11-12,2319,127,22,Ken Jee
116,Find a Data Science Project With These 3 Techniques,2020-11-06,16661,722,106,Ken Jee
117,How I Chose My Masters Degree for Breaking into Data Science,2020-10-30,26453,667,155,Ken Jee
118,git for Data Science Made Simple... (Hopefully),2020-10-23,19038,856,92,Ken Jee
119,The PODCAST you might have asked for?,2020-10-19,2109,94,44,Ken Jee
120,Dealing with Doubt in Data Science (My Impostor Syndrome Story),2020-10-16,6714,448,113,Ken Jee
121,Advice from a Data Analytics CEO (@How to Get an Analytics Job) - KNN EP. 17,2020-10-14,13889,406,48,Ken Jee
122,Data Science Resume Round-Up With @Tina Huang  | Episode 3,2020-10-12,6686,143,62,Ken Jee
123,5 Unusual Data Science Projects that Will Land You a Job,2020-10-09,11092,555,83,Ken Jee
124,Sh*t Data Scientists Say (Parody),2020-10-05,9422,576,143,Ken Jee
125,5 Proven Strategies to Break into a Data Science Job,2020-10-02,8609,366,93,Ken Jee
126,Why Data-Viz is so Darn Important (@Story by Data | Kate Strachnyi) - KNN EP. 16,2020-09-30,7055,289,61,Ken Jee
127,Data Science Resume Round-Up With @TinaHuang1  - Episode 1,2020-09-28,11496,290,69,Ken Jee
128,5 Essential Data Science Projects for Your Portfolio,2020-09-26,72083,3086,206,Ken Jee
129,His Startup Will Land You a Data Science Job (Jeremie Harris) - KNN EP. 15,2020-09-23,5170,196,64,Ken Jee
130,Reviewing Your Data Science Projects - Episode 21(The Cleanest Portfolio),2020-09-21,11295,453,58,Ken Jee
131,"Hedge Funds, Startups, and Data Science Oh my! (@DataLeap) - KNN EP. 14",2020-09-18,7406,250,34,Ken Jee
132,Land a Data Science Job in a Different Country (Vijay Pravin Maharajan) - KNN EP. 13,2020-09-16,5091,193,56,Ken Jee
133,Reviewing Your Data Science Projects - Episode 20 (Bootcamp Capstone),2020-09-14,4187,157,35,Ken Jee
134,The 5 Pillars of Success I Live By,2020-09-11,10123,873,152,Ken Jee
135,Fast Cars to Faster Data (Alex Castrounis) - KNN EP. 12,2020-09-09,1887,78,25,Ken Jee
136,Reviewing Your Data Science Projects - Episode 19 (One Big Improvement),2020-09-07,4007,161,43,Ken Jee
137,How I Learn Data Science Through Studying Other People's Code | #66DaysOfData,2020-09-04,11758,731,144,Ken Jee
138,How She Dominated the FAANG Data Science Interview  (@TinaHuang1 ) - KNN EP. 11,2020-09-02,17884,567,89,Ken Jee
139,Reviewing Your Data Science Projects - Episode 18 (Job-Worthy GitHub),2020-08-31,17735,793,93,Ken Jee
140,Why I'm Starting Data Science Over Again.,2020-08-29,50699,2605,450,Ken Jee
141,Inside the Mind of the Ultimate Kaggle Grandmaster (@Abhishek Thakur ) - KNN EP. 10,2020-08-26,15012,624,76,Ken Jee
142,Reviewing Your Data Science Projects - Episode 17 (Best Portfolio Website Yet?),2020-08-24,12687,456,55,Ken Jee
143,Don't Buy My Course..,2020-08-21,7327,358,146,Ken Jee
144,How a Subscriber Landed a Data Analyst Job in Less Than a Year (Ray Ojel) - KNN EP. 09,2020-08-19,29027,1112,166,Ken Jee
145,Reviewing Your Projects - Episode 16 (Project Review for Beginners),2020-08-17,3223,129,40,Ken Jee
146,Data Scientist Dismantles the YouTube Algorithm.,2020-08-14,6304,538,108,Ken Jee
147,Sports Analytics & Streaming Data Science on Twitch (Nick Wan) - KNN EP. 08,2020-08-12,4947,183,39,Ken Jee
148,Reviewing Your Data Science Projects - Episode 15 (Quant Finance),2020-08-10,11742,374,53,Ken Jee
149,The Plagiarism Problem in Data Science,2020-08-07,13037,630,145,Ken Jee
150,Interview with the Director of AI Research @ NVIDIA (Anima Anandkumar) - KNN EP. 07,2020-08-05,14349,602,89,Ken Jee
151,Reviewing Your Data Science Projects - Episode 14 [Deep Learning Focus],2020-08-03,4889,187,56,Ken Jee
152,My First Data Science Contracting Side-Gig (How I Did It),2020-07-31,11327,579,90,Ken Jee
153,Do You Have a Data Science Mentor? (@Danny Ma) - KNN EP. 06,2020-07-30,2308,116,34,Ken Jee
154,Reviewing Your Data Science Projects - Episode 13 (BONUS LinkedIn Review),2020-07-27,5575,252,112,Ken Jee
155,Building a Deep Learning BEAST (NVIDIA TITAN RTX + RYZEN 3900X),2020-07-24,8183,247,199,Ken Jee
156,Is it Important to Share Your Data Science Work? (Ft. Eric Weber),2020-07-22,1851,98,27,Ken Jee
157,Reviewing Your Data Science Resumes - Episode 12 (3 Different Resumes!),2020-07-20,28846,562,90,Ken Jee
158,Beginner Kaggle Data Science Project Walk-Through (Titanic),2020-07-17,318239,7127,421,Ken Jee
159,Uber Driver to Machine Learning Engineer in 9 Months! (@Daniel Bourke) - KNN EP. 05,2020-07-16,30171,1124,121,Ken Jee
160,Reviewing Your Data Science Projects - Episode 11(GITHUB CLEANING),2020-07-13,3615,135,50,Ken Jee
161,The Best Computer for Data Science Beginners,2020-07-10,37362,843,157,Ken Jee
162,Should You Major in Data Science? (Jaemin Lee) - KNN EP. 04,2020-07-08,6156,230,82,Ken Jee
163,Critiquing MY OWN Data Science Resume,2020-07-06,12577,396,88,Ken Jee
164,Where to Start Learning Data Science,2020-07-03,18637,781,126,Ken Jee
165,"Data Science Productivity, Motivation, and Organization (ft. Data Professor & Codebasics)",2020-07-01,4106,197,37,Ken Jee
166,Reviewing Your Data Science Projects - Episode 10 (Leveraging Your Data),2020-06-29,4567,177,52,Ken Jee
167,How to Get a Data Science Job at FAANG (@Data Science Jay) - KNN EP. 03,2020-06-26,16128,547,79,Ken Jee
168,Reviewing Your Data Science Projects - Episode 9 (Professional Violinist),2020-06-22,2402,82,40,Ken Jee
169,"Ken Jee Q & A Live Stream (50,000 Sub Special!)",2020-06-20,2383,139,49,Ken Jee
170,Reviewing Your Data Science Projects - Episode 8 (College Student Help),2020-06-15,4330,168,46,Ken Jee
171,Why You're Struggling to Learn Data Science,2020-06-12,15215,1009,159,Ken Jee
172,Reviewing Your Data Science Projects - Episode 7 (Incredible Portfolio Website),2020-06-08,11473,354,70,Ken Jee
173,The State of Data Science with Krish Naik & The Data Professor [Panel Discussion],2020-06-05,23577,680,146,Ken Jee
174,Reviewing Your Data Science Projects - Episode 6 (Only 3 months of coding experience),2020-06-01,5694,155,53,Ken Jee
175,How to Build a Data Science Portfolio Website with Hugo & Github Pages [feat. Data Professor],2020-05-29,70013,2155,267,Ken Jee
176,Reviewing Your Data Science Projects - Episode 5 (Very Detailed Project),2020-05-25,20956,490,81,Ken Jee
177,Different Data Science Roles Explained (by a Data Scientist),2020-05-22,54247,1941,178,Ken Jee
178,Reviewing Your Data Science Projects - Episode 4 (Resume & Github),2020-05-18,11231,178,55,Ken Jee
179,How to Make A Data Science Portfolio Website with Github Pages,2020-05-15,124909,4292,193,Ken Jee
180,10000 Subscriber and 100th Video Special (Data Science),2020-05-13,3099,147,115,Ken Jee
181,Reviewing Your Data Science Projects - Episode 3 (Student Portfolio),2020-05-11,4496,153,74,Ken Jee
182,How I Would Learn Data Science (If I Had to Start Over),2020-05-08,1391512,49022,2000,Ken Jee
183,Reviewing Your Data Science Projects - Episode 2 (Resume and Portfolio),2020-05-04,5504,196,42,Ken Jee
184,What You Need to Know for a Data Science Internship,2020-05-01,21402,1171,59,Ken Jee
185,Reviewing Your Data Science Projects - Episode 1 (Exploratory Analysis),2020-04-27,8327,349,54,Ken Jee
186,What It's Like to be a Socially Distanced Data Scientist (A Day in the Life),2020-04-24,14971,460,103,Ken Jee
187,Data Science in Sports - Talk for Northwestern (Kellogg) MBA Students,2020-04-22,3099,85,24,Ken Jee
188,5 Tips for Crushing the Work From Home Life,2020-04-20,5398,202,38,Ken Jee
189,Data Science Project from Scratch - Part 7 (Documenting Your Work),2020-04-17,20397,722,127,Ken Jee
190,Data Science Project from Scratch -  Part 6 (Putting the Model into Production),2020-04-15,28139,711,98,Ken Jee
191,Data Science Project from Scratch  - Part 5 (Model Building),2020-04-13,42359,877,151,Ken Jee
192,Data Science Project from Scratch - Part 4 (Exploratory Data Analysis),2020-04-10,69970,1851,209,Ken Jee
193,Data Science Project from Scratch - Part 3 (Data Cleaning),2020-04-08,77427,1724,277,Ken Jee
194,Data Science Project from Scratch - Part 2 (Data Collection),2020-04-06,121496,3370,616,Ken Jee
195,Data Science Project from Scratch - Part 1 (Project Planning),2020-04-03,185997,4814,170,Ken Jee
196,When Data Science Goes Wrong,2020-03-30,1801,105,32,Ken Jee
197,How to ULTRALEARN Data Science,2020-03-27,61637,3822,169,Ken Jee
198,Why Right NOW is a Great Time to Learn Data Science,2020-03-23,4380,267,50,Ken Jee
199,Data Science Project Example Start to Finish (Deep Learning Image Classifier),2020-03-20,12728,461,45,Ken Jee
200,The Secret Data Scientists Don't Want You to Know,2020-03-16,10680,1139,105,Ken Jee
201,The 5 Stages of Learning Data Science,2020-03-13,17395,1297,78,Ken Jee
202,Can You Learn Data Science Without a Computer?,2020-03-11,1641,109,14,Ken Jee
203,The Best Free Data Science Courses Nobody is Talking About,2020-03-09,343656,21126,622,Ken Jee
204,The Data Science Projects that Got Me a Job,2020-03-06,40557,1394,41,Ken Jee
205,How to Integrate Data Science into Your Business,2020-03-02,3363,126,18,Ken Jee
206,The Problem with Data Science,2020-02-28,3774,154,19,Ken Jee
207,How Much Did Cheating Help the Astros Win? (What the Numbers Say),2020-02-24,1147,46,16,Ken Jee
208,How to Set Up Your Data Science Environment (Anaconda Beginner),2020-02-21,123373,2386,97,Ken Jee
209,3 Proven Data Science Projects for Beginners (Kaggle),2020-02-17,322516,17650,525,Ken Jee
210,Data Science Advice for College Students,2020-02-14,68758,1963,197,Ken Jee
211,Avoid These Data Science Resume Mistakes!,2020-02-10,28087,1236,62,Ken Jee
212,Data Science Explained with ... Cooking?,2020-02-07,5197,312,48,Ken Jee
213,The 4 Types of Sports Analytics Projects,2020-02-03,30009,986,62,Ken Jee
214,Data Science in Golf: PGA Merchandise Show 2020,2020-01-31,578,18,13,Ken Jee
215,How I Learned Data Science,2020-01-27,93798,2687,210,Ken Jee
216,What is Sports Analytics Really?,2020-01-20,20798,606,73,Ken Jee
217,Data Science Certificate vs Bootcamp vs Masters Degree,2020-01-18,110290,3120,582,Ken Jee
218,How To Learn Programming for Data Science [3 Steps],2020-01-13,29995,1976,96,Ken Jee
219,Data Science Fundamentals: SQL Queries,2020-01-10,6323,212,35,Ken Jee
220,Questions You Should Ask Your Data Science Interviewers,2020-01-06,3119,151,14,Ken Jee
221,The 9 Books That Changed My Perspective in 2019,2020-01-03,3373,179,25,Ken Jee
222,The Data Science Interview: What to Expect,2019-12-30,8426,375,32,Ken Jee
223,5 Data Science Resolutions for 2020,2019-12-27,474,25,12,Ken Jee
224,How to Scrape NBA Data Using the nba_api Python Module,2019-12-23,16442,574,92,Ken Jee
225,Collision Course: Sports Betting + Data Science,2019-12-20,17151,483,27,Ken Jee
